@relation esmeraldastestecluster-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute 'f1: arith mean (S channel)' numeric
@attribute 'f2: std deviation (S channel)' numeric
@attribute 'f3: arith mean (V channel)' numeric
@attribute 'f4: std deviation (V channel)' numeric
@attribute 'f5: hist comp (ref category 0, channel S)' numeric
@attribute 'f6: hist comp (ref category 1, channel S)' numeric
@attribute 'f7: hist comp (ref category 2, channel S)' numeric
@attribute 'f8: hist comp (ref category 3, channel S)' numeric
@attribute 'f9: hist comp (ref category 4, channel S)' numeric
@attribute 'f10: hist comp (ref category 5, channel S)' numeric
@attribute 'f11: hist comp (ref category 6, channel S)' numeric
@attribute 'f12: hist comp (ref category 7, channel S)' numeric
@attribute 'f13: hist comp (ref category 0, channel V)' numeric
@attribute 'f14: hist comp (ref category 1, channel V)' numeric
@attribute 'f15: hist comp (ref category 2, channel V)' numeric
@attribute 'f16: hist comp (ref category 3, channel V)' numeric
@attribute 'f17: hist comp (ref category 4, channel V)' numeric
@attribute 'f18: hist comp (ref category 5, channel V)' numeric
@attribute 'f19: hist comp (ref category 6, channel V)' numeric
@attribute 'f20: hist comp (ref category 7, channel V)' numeric
@attribute 'f21: GLCM homogeneity (distance 1, angle 0)' numeric
@attribute 'f22: GLCM homogeneity (distance 1 angle 90)' numeric
@attribute 'f23: GLCM entropy (distance 1, angle 0)' numeric
@attribute 'f24: GLCM entropy (distance 1, angle 90)' numeric
@attribute classe {0,1,2,3,4,5,6,7}

@data
0.635429,0.012632,0.291195,0.019942,0.162765,0.81082,0.762688,0.372236,0.553648,0.33285,0.908699,0.392687,0.354428,0.665938,0.75088,0.641996,0.398992,0.351823,0.499708,0.809976,0.327736,1.04285,0.336909,1.03618,0
0.668644,0.012368,0.28805,0.021633,0.137154,0.8278,0.763903,0.332757,0.624843,0.297469,0.915788,0.476112,0.246094,0.609231,0.714529,0.56183,0.480676,0.283352,0.418842,0.870394,0.350396,1.01439,0.360733,1.00423,0
0.656961,0.012291,0.286177,0.020798,0.122608,0.819039,0.764212,0.337248,0.605468,0.312697,0.902847,0.439823,0.287212,0.63404,0.728008,0.591596,0.440793,0.314308,0.451791,0.857337,0.334329,1.03647,0.339098,1.03687,0
0.636976,0.012675,0.295158,0.021184,0.160717,0.850927,0.76912,0.366873,0.553454,0.309614,0.926522,0.384261,0.33899,0.667495,0.758392,0.635176,0.400538,0.355615,0.492057,0.826403,0.380148,1.00315,0.381537,0.998573,0
0.866242,0.021523,0.122026,0.035724,0.832698,0.187603,0.770494,0.902509,0.966571,0.938925,0.718724,0.931276,0.51021,0.166184,0.184829,0.243912,0.884149,0.642387,0.510284,0.936061,0.696823,0.658961,0.670702,0.671533,2
0.822892,0.01704,0.109872,0.029047,0.798983,0.354822,0.770793,0.866343,0.956814,0.913744,0.483455,0.914737,0.334527,0.209724,0.329045,0.180446,0.815181,0.470965,0.312497,0.942989,0.622323,0.760863,0.586878,0.782182,5
0.625622,0.012961,0.298962,0.021238,0.206192,0.840316,0.771741,0.41174,0.513908,0.332302,0.926754,0.346058,0.36278,0.686096,0.77566,0.654898,0.374328,0.384429,0.516268,0.816204,0.397613,0.987652,0.380483,0.994776,0
0.844023,0.021683,0.129547,0.037199,0.845812,0.152526,0.77346,0.918315,0.976951,0.95028,0.772709,0.941648,0.432628,0.13877,0.291829,0.213325,0.885149,0.56251,0.417571,0.97018,0.646203,0.670592,0.651705,0.668972,2
0.850018,0.020229,0.117327,0.031596,0.806458,0.257745,0.778282,0.875963,0.957649,0.916731,0.600749,0.916443,0.437181,0.166802,0.282406,0.181834,0.907473,0.567888,0.415509,0.981052,0.62586,0.728406,0.617338,0.731882,2
0.795778,0.0158,0.275411,0.023747,0.205587,0.923055,0.780566,0.140828,0.709607,0.460327,0.963547,0.593293,0.23973,0.304726,0.438783,0.211057,0.802678,0.372524,0.277568,0.952976,0.582356,0.828188,0.55175,0.84474,7
0.858394,0.021372,0.108919,0.032727,0.82621,0.40956,0.781349,0.889215,0.970074,0.935326,0.543524,0.931478,0.472119,0.204787,0.214193,0.208181,0.883678,0.604064,0.458175,0.949852,0.670704,0.69569,0.663963,0.701335,5
0.835035,0.019777,0.248672,0.033664,0.406584,0.916592,0.782324,0.231412,0.910155,0.662946,0.963535,0.805704,0.377559,0.20614,0.326768,0.128158,0.879996,0.508282,0.381606,0.968831,0.601763,0.72857,0.632332,0.714919,1
0.646002,0.013144,0.298505,0.021679,0.18392,0.851738,0.786389,0.381035,0.539215,0.301526,0.924692,0.369937,0.302275,0.650849,0.745726,0.621754,0.389189,0.311364,0.481998,0.850242,0.401053,0.97564,0.367418,0.989326,0
